"term: The Battle Hymn of the Republic description: A hymn by American writer Julia Ward Howe using the music from the song; John Brown's Body. Howe's more famous lyrics were written in November 1861 and first published in The Atlantic Monthly in February 1862. The song links the judgment of the wicked at the end of time (New Testament) with the American Civil War. Since that time it has become an extremely popular and well-known American patriotic song.", 'LWH',
"term: 13 English Colonies description: The colonies on the Atlantic coast of North America founded between 1607 (Virginia) and 1733 (Georgia). ", 'KLH',
"term: 13th Amendment description: Outlaws slavery and involuntary servitude; except as punishment for a crime. It was passed by the Senate on April 8; 1864; by the House on January 31; 1865; and adopted on December 6; 1865. On December 18; Secretary of State William H. Seward proclaimed it to have been adopted. It was the first of the three Reconstruction Amendments adopted after the American Civil War.", 'LAW',
"term: 54th Massachusetts Infantry description: African American Civil War regiment that captured Fort Wagner in South Carolina", 'KGOPH',
"term: Abolition description: an end to slavery", 'KT',
"term: Abigail Adams description: The wife of John Adams; who was the second President of the United States; and the mother of John Quincy Adams; the sixth. Adams is remembered for the many letters she wrote to her husband while he stayed in Philadelphia; Pennsylvania; during the Continental Congresses. John frequently sought the advice of Abigail on many matters; and their letters are filled with intellectual discussions on government and politics. ", 'KPOH',
"term: Reconstruction Era description: was a period in American history following the American Civil War (1861â€“1865); it lasted from 1865 to 1877 and marked a significant chapter in the history of civil rights in the United States.", 'KPOT',
"term: Adams-OnisTreaty description: an agreement in which Spain gave East Florida to the United States", 'HEVE',
"term: affirmative action description: programs that gave preference to minorities and women in hiring and admissions", 'POLY',
"term: city_state description: city and the surrounding territories.", 'POW',
"term: Clermont description: the first full-sized U.S. commercial steamboat; developed by Robert Fulton and tested in 1807", 'KP',
"term: Cumberland Road description: the first federal road project; construction of which began in 1815; ran from Cumberland; Maryland; to present-day Wheeling; West Virginia", 'DOKT',
"term: climate description: average weather condition at a place over a period of years.", 'PSYS',
"term: elevation description: altitude.", 'POCALC',
"term: empire description: group of states under one ruler.", 'TOW',
"term: federal system  description: a system that divided powers between the states and the federal government", 'SYSW',
"term: folktale description: a story that often provides a moral lesson", 'TOTEXT',
"term: landforms description: physical features of the Earth.", 'WWP',
"term: dynasty description: series of rulers from the same family.", 'POW',
"term: jarls description: Viking military leaders.", 'TOP',
"term: theology description: study of religion.", 'LWANF',
"term: Greek fire description: chemical weapon used by the Byzantines", 'VOC',
"term: code_of_chivalry description: rules knights had to live by.", 'RULE',
"term: perestroika description: Russian system of restructuring.", 'SORULES',
"term: middle class description: the social and economic level between the wealthy and the poor", 'CALC',
"term: popular sovereignty description: the idea that political authority belongs to the people", 'DOTEXT',
"term: social Darwinism description: a view of society based on Charles Darwin's scientific theory of natural selection", 'THEO',
"term: Spanish Armada description: a large Spanish fleet defeated by England in 1588", 'COW',
